"id","capacity","modcountry","extmajor","extminor"
"tomen-y-murAmphitheater",2772.0,"United Kingdom",52.0,46.0
"thaenaeAmphitheater",8700.0,"Tunisia",90.0,61.0
"sbeitlaAmphitheater",6500.0,"Tunisia",72.0,60.0
"tebessaAmphitheater",9400.0,"Algeria",83.0,70.0
"trierAmphitheater",8742.0,"Germany",100.0,79.0
"susaAmphitheater",3015.0,"Italy",60.0,52.0
"ivreaAmphitheater",8046.0,"Italy",96.0,72.0
"bararusAmphitheater",12000.0,"Tunisia",98.0,73.5
"castraAlbanaAmphitheater",20000.0,"Italy",116.5,94.0
"sophiaAmphitheater",20000.0,"Bulgaria","",""
"ptolemaisAmphitheater",10878.0,"Libya",89.0,86.0
"toulouseAmphitheater","","France",111.0,101.0
"caparraAmphitheater","","Spain","",""
"cordobaAmphitheater","","Spain","",""
"lillebonnAmphitheater",7245.0,"France",78.0,75.0
"besanconAmphitheater",13816.0,"France",110.0,85.0
"limogesAmphitheater","","France",110.0,85.0
"poitiersAmphitheater","","France",108.0,88.0
"reimsAmphitheater","","France",108.0,88.0
"rodezAmphitheater",15000.0,"France",108.0,88.0
"milanAmphitheater",31649.0,"Italy",155.0,125.0
"aquileiaAmphitheater","","Italy",142.0,118.0
"paduaAmphitheater","","Italy",102.5,65.5
"lecceAmphitheater",25000.0,"Italy",101.9,83.0
"terminiImereseAmphitheater","","Italy",98.0,75.0
"sanBenedettoDeiMarsiAmphitheater","","Italy",101.0,""
"monteleoneAmphitheater","","Italy",101.0,""
"bolsenaAmphitheater","","Italy",101.0,""
"anconaAmphitheater",14168.0,"Italy",111.0,97.0
"ascoliPicenoAmphitheater","","Italy",148.0,125.0
"beneventoAmphitheater","","Italy",148.0,125.0
"calviRisortaAmphitheater","","Italy",148.0,125.0
"sanVittorinoAmphitheater",20000.0,"Italy",90.0,68.0
"beziersAmphitheater","","France",90.0,68.0
"agenAmphitheater",15000.0,"France",90.0,68.0
"narbonneAmphitheater","","France",121.6,93.2
"amiensAmphitheater",15000.0,"France",121.6,93.2
"meauxAmphitheater","","France",121.6,93.2
"chartresAmphitheater","","France",121.6,93.2
"senlisAmphitheater","","France",90.0,83.0
"toursAmphitheater",34000.0,"France",156.0,134.0
"caistorStEdmundAmphitheater","","United Kingdom",156.0,134.0
"capuaRepublicanAmphitheater","","Italy",156.0,134.0
"capuaImperialAmphitheater",37000.0,"Italy",165.0,135.0
"liternoAmphitheater","","Italy",165.0,135.0
"noleAmphitheater","","Italy",165.0,135.0
"silchesterAmphitheater",7147.0,"United Kingdom",80.0,70.0
"dorchesterAmphitheater","","United Kingdom",80.0,77.0
"bragaAmphitheater","","Portugal",80.0,77.0
"sisapoAmphitheater","","Spain",80.0,77.0
"leonAmphitheater","","Spain",80.0,77.0
"autunAmphitheater","","France",154.0,130.0
"xantenAmphitheater",10000.0,"Germany",96.5,87.0
"arnsburgAmphitheater","","Germany",96.5,87.0
"ierapetraAmphitheater","","Greece",96.5,87.0
"kunzingAmphitheater","","Germany",96.5,87.0
"noceraSuperioreAmphitheater","","Italy",125.0,102.0
"bobadelaAmphitheater","","Portugal","",""
"sopronAmphitheater","","Hungary","",""
"nyonAmphitheater","","Switzerland","",""
"bernAmphitheater",1946.0,"Switzerland",42.6,38.5
"dambachAmphitheater","","Germany",42.6,38.5
"burnumAmphitheater","","Croatia",80.0,65.0
"gleisdorfAmphitheater","","Austria",80.0,65.0
"skikdaAmphitheater",8000.0,"Algeria",77.3,58.8
"bostraAmphitheater","","Syria",77.3,58.8
"palmyraAmphitheater","","Syria",77.3,58.8
"stMarcelAmphitheater","","France",77.3,58.8
"metzAmphitheater",30000.0,"France",148.0,125.0
"grandHalfAmphitheater",17000.0,"France",179.0,""
"albegnaAmphitheater","","Italy",70.0,50.0
"aquinoAmphitheater","","Italy",115.0,96.0
"bourgesAmphitheater","","France",108.0,70.0
"chassenonAmphitheater","","France","",""
"drevantAmphitheater","","France",56.0,""
"seressiAmphitheater",7200.0,"Tunisia",76.0,65.2
"chemtouAmphitheater",6500.0,"Tunisia",61.0,52.0
"bekaltaAmphitheater",4400.0,"Tunisia",80.0,58.0
"sidiBouArkoubAmphitheater",3200.0,"Tunisia",56.0,38.0
"genzanoPrivateAmphitheater",1300.0,"Italy",61.0,40.0
"ainHedjahAmphitheater",3000.0,"Tunisia",57.0,42.0
"uticaAmphitheater",17100.0,"Tunisia",118.0,98.0
"tebourbaAmphitheater","","Tunisia",118.0,98.0
"hencherElKasbatAmphitheater",7500.0,"Tunisia",74.0,61.0
"espejoAmphitheater","","Spain",74.0,61.0
"hencherZembraAmphitheater",5400.0,"Tunisia",69.0,53.0
"botriaAmphitheater",11600.0,"Tunisia",90.0,86.0
"tipasaAmphitheater",4398.0,"Algeria",77.0,55.0
"bullaRegiaAmphitheater",8300.0,"Tunisia",75.0,66.0
"pupputAmphitheater","","Tunisia","",""
"siccaVeneriaAmphitheater",11300.0,"Tunisia",100.0,80.0
"thibariAmphitheater",6300.0,"Tunisia",61.2,51.5
"portusOvalStructure",2000.0,"Italy",61.2,51.5
"montbouyGalloRomanAmphitheater","","France","",""
"statiliusTaurusAmphitheater","","Italy","",""
"hisaryaAmphitheater","","Bulgaria","",""
"mesarafeltaAmphitheater","","Algeria","",""
"tigavaCastraAmphitheater",2300.0,"Algeria",56.0,37.0
"carpisAmphitheater","","Tunisia",56.0,37.0
"altinumAmphitheater","","Italy",143.0,103.0
"augustaBagiennorumAmphitheater","","Italy",104.0,78.0
"aostaAmphitheater","","Italy",150.0,115.0
"faleriiNoviAmphitheater",7986.0,"Italy",88.0,66.4
"riminiAmphitheater",13967.0,"Italy",117.72,88.08
"imolaAmphitheater",11914.0,"Italy",108.0,81.0
"venosaAmphitheater",10602.0,"Italy",98.0,77.0
"teramoAmphitheater","","Italy",73.93,56.16
"velleiaAmphitheater",2901.0,"Italy",54.85,44.1
"ordonaAmphitheater",6318.0,"Italy",74.5,59.4
"bevanaAmphitheater",6251.0,"Italy",80.0,53.0
"minturnaeAmphitheater","","Italy",130.0,""
"sinuessaAmphitheater","","Italy",80.0,45.0
"aphrodisiasAmphitheater","","Turkey","",""
"djerbaAmphitheater","","Tunisia",68.0,""
"zagaroloLudus","","Italy",40.0,""
"tusculumAmphitheater",4853.0,"Italy",73.0,54.0
"forumNovumAmphitheater","","Italy","",""
"todiAmphitheater","","Italy",90.0,60.0
"terniAmphitheater","","Italy",95.0,73.0
